,ticker,text,neg,neu,pos,compound
0,AMZN,RT  philgrahambiz   saxena puru  AMZN is my favorite stock  I think it sees  K next year easily ,0.0,0.707,0.293,0.6597
1,AMZN,RT  hellokitty  Supercute  Super sweet  Super stylish    Introducing the  Mattel x Hello Kitty and Friends line  featuring fashion dolls  c ,0.0,0.502,0.498,0.9313
2,AMZN,RT  Lara leims  Novela  OCULTA TRAS SU MIRADA    Qu  esconde la desaparici n de Paola   Dinero  amor  sexo  venganza  O tal vez     Lectura ,0.0,0.833,0.167,0.6124
3,AMZN, NoLeechOptions How is amzn looking  It looks very weak  Wondering whether it is a setup,0.197,0.803,0.0,-0.4927
4,AMZN,RT  tammy      Save     on the COSORI Air Fryer Max XL     Recipes      QT Electric Hot Oven Oilless Cooker LED Touch Digital Screen with   ,0.0,0.748,0.252,0.7739
5,AMZN,RT  HarryOxford    BookRecommendation  BookReview Many thanks to this Amazon reviewer for leaving such a lovely           review for my nov ,0.0,0.641,0.359,0.8126
6,AMZN,RT  smDeWittHall   Touch is not empty  it contains all the elements of the universe  and the full force of both yourself and the Spirit whi ,0.0,0.875,0.125,0.3164
7,AMZN,RT  samaypatrika                                                                                                                            ,0.0,1.0,0.0,0.0
8,AMZN,RT  AmazonFashionIn  Look stylish without burning a hole in your pocket with this guide to affordable style on  AmazonFashion  Stock your w ,0.0,1.0,0.0,0.0
9,AMZN,RT  KurokonekoKamen    Thanksgiving      Thanksgiving  HappyThanksgiving   sale    cents   When Snow s evil stepfather King Reginald hires ,0.253,0.747,0.0,-0.6597
10,AMZN,RT  Bethenny  A supplement a day  makes skin plumpness stay  in the bedroom you play  de stress a crazy day  amp  sleep when you lay  Give the ,0.182,0.734,0.084,-0.4215
11,AMZN,RT  SoVeryBritish  These books make fine Christmas presents  One is a gentle joke book  the other is a book of  adventures for the anxious  ,0.071,0.601,0.329,0.743
12,AMZN,RT  priceinaction  Why trade breakouts  when re test of a resistance turned into support is a much more effective  Instead of anticipating ,0.0,0.747,0.253,0.7264
13,AMZN,RT  mrsaddisonbleu  Emily Richards  an aspiring writer gets the hardest task   writing a love story  Max Griffith has met and bedded every ,0.0,0.826,0.174,0.6369
14,AMZN,RT  hellokitty  Supercute  Super sweet  Super stylish    Introducing the  Mattel x Hello Kitty and Friends line  featuring fashion dolls  c ,0.0,0.502,0.498,0.9313
15,AMZN,RT  kyoko st                                                                                         st                                     ,0.0,1.0,0.0,0.0
16,AMZN,RT  SusanneLeist  A dead game played in hell  Wait for the warning bell  Once the windows  amp  doors lock  no need to feign any shock  You are ,0.418,0.519,0.062,-0.9287
17,AMZN,RT  kcsowriter  It all begins at a game  a win and revenge against a tough rival    psychologicalthriller   suspense   Solsticepublish  eBo ,0.216,0.617,0.167,-0.0258
18,AMZN,RT  WBooneHedgepeth        Spiritual growth  turmoil  metaphysical quest work  Really enjoyable story  Lots of personal stories in this mem ,0.107,0.644,0.249,0.5095
19,AMZN,RT  malopezosa  Descubre el secreto que comparten Iset y Sisi  dos mujeres separadas por milenios y marcadas por una profec a  en  lapir mi ,0.0,1.0,0.0,0.0
20,AMZN,RT  KurokonekoKamen    Thanksgiving      Thanksgiving  HappyThanksgiving   sale    cents   When Snow s evil stepfather King Reginald hires ,0.253,0.747,0.0,-0.6597
21,TSLA,Just saw Elon Musk in the camping outdoors section of LL Bean    I guess  TSLA is ramping up production ,0.0,1.0,0.0,0.0
22,TSLA,RT  heydave   Goldman Sachs has upgraded TSLA to Buy  from Neutral  with price target of       from         ,0.0,1.0,0.0,0.0
23,TSLA,RT  KartnerMilly  Are we ready for     Go  GWSO  TSLA  NIO We look strong today ,0.0,0.674,0.326,0.7003
24,TSLA, allinargy TSLA,0.0,1.0,0.0,0.0
25,TSLA,I had bought  tsla at      like a year ago    its about to hit     again but my balance is significantly higher   stocksplit  invest,0.0,0.916,0.084,0.1901
26,TSLA,RT  DougKass  I shorted more  TSLA this morning in the premarket between            I have alot on my plate in the next two days so I will ,0.0,1.0,0.0,0.0
27,TSLA,Which person has the most power   potus  tsla  tlry  elonmusk  polls  realDonaldTrump,0.0,1.0,0.0,0.0
28,TSLA,We are reiterating the MARKET will go up   spy  qqq  cmcsa  tjx  xlnx  jnj  tsla  amzn  qcom  nee,0.0,1.0,0.0,0.0
29,TSLA,RT  michaellebowitz  The S amp P     will see its P E rise by about   when  TSLA is added to it  That assumes Tesla s P E is      even though i ,0.0,1.0,0.0,0.0
30,TSLA,RT  teslashanghai  Tesla Model   sold about     k in  November in China  MoM       tsla,0.0,1.0,0.0,0.0
31,TSLA,Are we ready for     Go  GWSO  TSLA  NIO We look strong today ,0.0,0.633,0.367,0.7003
32,TSLA,RT  ray tesla  Chanos argues that the firm usually makes about two thirds of its choices right  but only one third of its short positions c ,0.07,0.93,0.0,-0.2023
33,TSLA,RT  jakebrowatzke  If you think a                  TSLA price target sounds crazy remember  elonmusk is trying to control the whole ecosyst ,0.118,0.882,0.0,-0.34
